"","id","fullName","link","career_goals","career_points","career_PIM"
"1",8445135,"George Boucher","/api/v1/people/8445135",118,205,845
"2",8445191,"Morley Bruce","/api/v1/people/8445191",8,10,27
"3",8445802,"Rusty Crawford","/api/v1/people/8445802",10,18,115
"4",8445844,"Jack Darragh","/api/v1/people/8445844",68,117,107
"5",8445874,"Cy Denneny","/api/v1/people/8445874",247,336,296
"6",8446581,"Eddie Gerard","/api/v1/people/8446581",50,101,126
"7",8447013,"Harry Hyland","/api/v1/people/8447013",14,16,65
"8",8447522,"Ed Lowrey","/api/v1/people/8447522",2,4,6
"9",8447848,"Horace Merrill","/api/v1/people/8447848",0,0,3
"10",8448011,"Frank Nighbor","/api/v1/people/8448011",139,239,266
"11",8448336,"Dave Ritchie","/api/v1/people/8448336",15,21,50
"12",8449025,"Hamby Shore","/api/v1/people/8449025",3,11,51
"13",8449817,"Clint Benedict","/api/v1/people/8449817",NA,NA,NA
"14",8445044,"Billy Bell","/api/v1/people/8445044",3,6,12
"15",8445071,"Louis Berlinquette","/api/v1/people/8445071",45,77,132
"16",8445571,"Bert Corbeau","/api/v1/people/8445571",63,111,665
"17",8445744,"Billy Coutu","/api/v1/people/8445744",33,56,502
"18",8446669,"Joe Hall","/api/v1/people/8446669",15,24,230
"19",8447289,"Newsy Lalonde","/api/v1/people/8447289",125,167,185
"20",8447348,"Jack Laviolette","/api/v1/people/8447348",2,3,6
"21",8447594,"Joe Malone","/api/v1/people/8447594",143,176,57
"22",8447761,"Jack McDonald","/api/v1/people/8447761",26,40,27
"23",8448119,"Evariste Payer","/api/v1/people/8448119",0,0,0
"24",8448154,"Didier Pitre","/api/v1/people/8448154",64,99,87
"25",8450137,"Georges Vezina","/api/v1/people/8450137",NA,NA,NA
"26",8444861,"Jack Adams","/api/v1/people/8444861",81,125,384
"27",8445314,"Harry Cameron","/api/v1/people/8445314",88,142,180
"28",8445740,"Jack Coughlin","/api/v1/people/8445740",2,2,3
"29",8445873,"Corb Denneny","/api/v1/people/8445873",103,145,150
"30",8447616,"Jack Marks","/api/v1/people/8447616",0,0,4
"31",8447832,"Harry Meeking","/api/v1/people/8447832",19,32,68
"32",8447907,"Harry Mummery","/api/v1/people/8447907",32,52,225
"33",8448013,"Reg Noble","/api/v1/people/8448013",167,273,925
"34",8448246,"Ken Randall","/api/v1/people/8448246",69,120,581
"35",8449049,"Alf Skinner","/api/v1/people/8449049",26,38,93
"36",8449841,"Art Brooks","/api/v1/people/8449841",NA,NA,NA
"37",8449990,"Sammy Hebert","/api/v1/people/8449990",NA,NA,NA
"38",8449997,"Hap Holmes","/api/v1/people/8449997",NA,NA,NA
"39",8446580,"Gerry Geran","/api/v1/people/8446580",5,6,6
"40",8448052,"George O'Grady","/api/v1/people/8448052",0,0,0
"41",8448456,"Art Ross","/api/v1/people/8448456",1,1,12
"42",8449048,"Raymie Skilton","/api/v1/people/8449048",0,0,0
"43",8449181,"Phil Stevens","/api/v1/people/8449181",1,1,3
"44",8449231,"Ken Thompson","/api/v1/people/8449231",0,0,0
"45",8450014,"Bert Lindsay","/api/v1/people/8450014",NA,NA,NA
"46",8445168,"Punch Broadbent","/api/v1/people/8445168",120,172,576
"47",8445497,"Sprague Cleghorn","/api/v1/people/8445497",85,148,549
"48",8448441,"Skene Ronan","/api/v1/people/8448441",0,0,6
"49",8445497,"Sprague Cleghorn","/api/v1/people/8445497",85,148,549
"50",8444956,"Amos Arbour","/api/v1/people/8444956",52,69,78
"51",8445496,"Odie Cleghorn","/api/v1/people/8445496",94,129,150
"52",8445914,"Fred Doherty","/api/v1/people/8445914",0,0,0
"53",8447037,"Paul Jacobs","/api/v1/people/8447037",0,0,0
"54",8447791,"Jack MacKell","/api/v1/people/8447791",4,6,54
"55",8447815,"Howard McNamara","/api/v1/people/8447815",1,1,4
"56",8449072,"Don Smith","/api/v1/people/8449072",1,1,6
"57",8445972,"Babe Dye","/api/v1/people/8445972",203,252,220
"58",8446761,"Frank Heffernan","/api/v1/people/8446761",0,1,10
"59",8447637,"Joe Matte","/api/v1/people/8447637",17,32,52
"60",8448212,"Goldie Prodgers","/api/v1/people/8448212",63,96,39
"61",8448349,"Mickey Roach","/api/v1/people/8448349",77,114,54
"62",8449551,"Cully Wilson","/api/v1/people/8449551",59,87,245
"63",8449918,"Jake Forbes","/api/v1/people/8449918",NA,NA,NA
"64",8450017,"Howard Lockhart","/api/v1/people/8450017",NA,NA,NA
"65",8450044,"Ivan Mitchell","/api/v1/people/8450044",NA,NA,NA
"66",8445326,"George Carey","/api/v1/people/8445326",21,33,20
"67",8445330,"Ed Carpenter","/api/v1/people/8445330",10,15,41
"68",8447674,"Thomas McCarthy","/api/v1/people/8447674",22,29,10
"69",8447796,"Fred McLean","/api/v1/people/8447796",0,0,2
"70",8447816,"George McNaughton","/api/v1/people/8447816",0,0,0
"71",8449087,"Tommy Smith","/api/v1/people/8449087",0,1,11
"72",8449382,"Alex Wellington","/api/v1/people/8449382",0,0,0
"73",8449843,"Frank Brophy","/api/v1/people/8449843",NA,NA,NA
"74",8446629,"Leth Graham","/api/v1/people/8446629",3,3,0
"75",8447765,"Moylan McDonnell","/api/v1/people/8447765",1,3,2
"76",8448315,"Leo Reise Sr.","/api/v1/people/8448315",39,74,204
"77",8445317,"Dave Campbell","/api/v1/people/8445317",0,0,0
"78",8449090,"Rod Smylie","/api/v1/people/8449090",3,5,12
"79",8449199,"Billy Stuart","/api/v1/people/8449199",30,49,155
"80",8445134,"Frank Boucher","/api/v1/people/8445134",160,424,110
"81",8445471,"King Clancy","/api/v1/people/8445471",137,287,914
"82",8445131,"Edmond Bouchard","/api/v1/people/8445131",19,43,133
"83",8445133,"Billy Boucher","/api/v1/people/8445133",93,128,419
"84",8444936,"Lloyd Andrews","/api/v1/people/8444936",8,13,12
"85",8447035,"Stan Jackson","/api/v1/people/8447035",9,18,84
"86",8448030,"Paddy Nolan","/api/v1/people/8448030",0,0,0
"87",8449075,"Glenn Smith","/api/v1/people/8449075",0,0,0
"88",8449145,"Ted Stackhouse","/api/v1/people/8449145",0,0,2
"89",8450103,"John Ross Roach","/api/v1/people/8450103",NA,NA,NA
"90",8446767,"Harry Helman","/api/v1/people/8446767",1,1,7
"91",8446886,"Lionel Hitchman","/api/v1/people/8446886",27,65,557
"92",8445255,"Billy Burch","/api/v1/people/8445255",136,196,263
"93",8447110,"Aurel Joliat","/api/v1/people/8447110",269,463,771
"94",8445882,"Gerry Denoird","/api/v1/people/8445882",0,0,0
"95",8448948,"Ganton Scott","/api/v1/people/8448948",1,2,0
"96",8445319,"Earl Campbell","/api/v1/people/8445319",6,10,16
"97",8446298,"Frank Finnigan","/api/v1/people/8446298",116,210,410
"98",8446492,"Charles Fraser","/api/v1/people/8446492",0,0,0
"99",8446643,"Red Green","/api/v1/people/8446643",60,87,277
"100",8446644,"Shorty Green","/api/v1/people/8446644",34,56,167
"101",8449141,"Jesse Spring","/api/v1/people/8449141",11,15,78
"102",8445136,"Bobby Boucher","/api/v1/people/8445136",1,1,0
